Unnamed: 0,Province or State,City,Latitude,Longitude,Postal code,Education,Income,Marital Status,LoyaltyStatus,EnrollmentDateOpening,CancellationDate,Customer Lifetime Value,EnrollmentType,Income_Class,CustomerTenure,Active_Client
0,Ontario,Toronto,43.653225,-79.383186,M2Z 4K1,Bachelor,70146.0,Married,Star,2019-02-15,2021-12-31,3839.14,Standard,Non-Zero Income,1050,Active
1,Alberta,Edmonton,53.544388,-113.49093,T3G 6Y6,College,0.0,Divorced,Star,2019-03-09,2021-12-31,3839.61,Standard,Zero Income,1028,Active
2,British Columbia,Vancouver,49.28273,-123.12074,V6E 3D9,College,0.0,Single,Star,2017-07-14,2021-01-08,3839.75,Standard,Zero Income,1274,Inactive
3,Ontario,Toronto,43.653225,-79.383186,P1W 1K4,College,0.0,Single,Star,2016-02-17,2021-12-31,3839.75,Standard,Zero Income,2144,Active
4,Quebec,Hull,45.42873,-75.713364,J8Y 3Z5,Bachelor,97832.0,Married,Star,2017-10-25,2021-12-31,3842.79,2021 Promotion,Non-Zero Income,1528,Active
6,Ontario,Toronto,43.653225,-79.383186,P5S 6R4,College,0.0,Single,Star,2017-06-09,2021-12-31,3857.95,Standard,Zero Income,1666,Active
7,Ontario,Trenton,44.101128,-77.576309,K8V 4B2,Bachelor,93272.0,Married,Star,2019-12-08,2021-12-31,3861.49,Standard,Non-Zero Income,754,Active
8,Quebec,Montreal,45.50169,-73.567253,H2Y 2W2,Bachelor,93272.0,Married,Star,2018-05-30,2021-12-31,3861.49,Standard,Non-Zero Income,1311,Active
9,Ontario,Toronto,43.653225,-79.383186,M8Y 4K8,Bachelor,93272.0,Married,Star,2019-10-14,2021-12-31,3861.49,Standard,Non-Zero Income,809,Active
10,British Columbia,Vancouver,49.28273,-123.12074,V6E 3D9,Bachelor,47199.0,Married,Star,2018-03-17,2021-12-31,3863.31,Standard,Non-Zero Income,1385,Active
11,British Columbia,Dawson Creek,55.759628,-120.23766,U5I 4F1,Bachelor,24204.0,Married,Star,2019-06-11,2021-12-31,3864.78,Standard,Non-Zero Income,934,Active
12,Quebec,Quebec City,46.813877,-71.207977,G1B 3L5,Bachelor,79628.0,Single,Star,2021-01-28,2021-12-31,3867.97,Standard,Non-Zero Income,337,Active
13,Quebec,Montreal,45.50169,-73.567253,H4G 3T4,College,0.0,Single,Star,2016-10-13,2021-12-31,3871.07,Standard,Zero Income,1905,Active
14,Ontario,Toronto,43.653225,-79.383186,M2M 7K8,College,0.0,Single,Star,2019-11-29,2021-12-31,3872.22,Standard,Zero Income,763,Active
15,Ontario,Toronto,43.653225,-79.383186,M2M 6J7,Master,28142.0,Married,Star,2019-08-25,2021-12-31,3873.65,Standard,Non-Zero Income,859,Active
16,Alberta,Edmonton,53.544388,-113.49093,T3G 6Y6,Master,28142.0,Married,Star,2019-12-06,2021-12-31,3873.65,Standard,Non-Zero Income,756,Active
17,Quebec,Montreal,45.50169,-73.567253,H2Y 2W2,Bachelor,84981.0,Married,Star,2016-10-30,2021-12-31,3878.77,Standard,Non-Zero Income,1888,Active
18,New Brunswick,Moncton,46.087818,-64.778229,E1A 2A7,College,0.0,Married,Star,2021-02-09,2021-12-31,3883.4,2021 Promotion,Zero Income,325,Active
19,New Brunswick,Fredericton,45.963589,-66.643112,E3B 2H2,College,0.0,Married,Star,2017-10-23,2021-01-02,3885.46,Standard,Zero Income,1167,Inactive
20,Ontario,Toronto,43.653225,-79.383186,M1R 4K3,College,0.0,Married,Star,2018-07-30,2021-12-31,3885.46,Standard,Zero Income,1250,Active
21,Quebec,Montreal,45.50169,-73.567253,H4G 3T4,College,0.0,Married,Star,2021-11-18,2021-12-31,3885.46,Standard,Zero Income,43,Active
22,Alberta,Edmonton,53.544388,-113.49093,T9G 1W3,College,0.0,Married,Star,2019-03-22,2021-12-31,3885.46,Standard,Zero Income,1015,Active
23,Alberta,Edmonton,53.544388,-113.49093,T9G 1W3,College,0.0,Single,Star,2017-05-21,2021-12-31,3886.5,Standard,Zero Income,1685,Active
24,Ontario,Toronto,43.653225,-79.383186,M1R 4K3,Bachelor,78108.0,Single,Star,2019-05-21,2021-12-31,3886.65,Standard,Non-Zero Income,955,Active
25,Quebec,Montreal,45.50169,-73.567253,H2Y 4R4,Bachelor,96335.0,Single,Star,2018-06-20,2021-12-31,3887.32,Standard,Non-Zero Income,1290,Active
26,British Columbia,Vancouver,49.28273,-123.12074,V5R 1W3,Bachelor,91182.0,Married,Star,2019-10-31,2021-12-31,3890.87,Standard,Non-Zero Income,792,Active
27,Ontario,Toronto,43.653225,-79.383186,P1L 8X8,Bachelor,91182.0,Married,Star,2020-10-09,2021-12-31,3890.87,Standard,Non-Zero Income,448,Active
28,Ontario,Ottawa,45.421532,-75.697189,K1F 2R2,Bachelor,43578.0,Married,Star,2016-07-15,2021-12-31,3890.96,Standard,Non-Zero Income,1995,Active
29,Quebec,Tremblant,46.118462,-74.596184,H5Y 2S9,Bachelor,31409.0,Married,Star,2018-11-22,2021-12-31,3891.54,Standard,Non-Zero Income,1135,Active
30,British Columbia,Vancouver,49.28273,-123.12074,V5R 1W3,College,0.0,Married,Star,2017-03-04,2021-12-31,3891.58,Standard,Zero Income,1763,Active
31,Ontario,Ottawa,45.421532,-75.697189,K1F 2R2,Bachelor,26605.0,Married,Star,2018-04-06,2018-12-06,3893.31,Standard,Non-Zero Income,244,Inactive
32,British Columbia,Vancouver,49.28273,-123.12074,V1E 4R6,Bachelor,52361.0,Single,Star,2020-10-24,2021-12-31,3895.03,Standard,Non-Zero Income,433,Active
33,Quebec,Montreal,45.50169,-73.567253,H2T 2J6,High School or Below,10853.0,Married,Star,2015-11-19,2021-12-31,3896.57,Standard,Non-Zero Income,2234,Active
34,Alberta,Calgary,51.048615,-114.07085,T3E 2V9,Bachelor,60068.0,Married,Star,2021-05-03,2021-12-31,3903.47,Standard,Non-Zero Income,242,Active
35,British Columbia,Vancouver,49.28273,-123.12074,V6E 3D9,Bachelor,51833.0,Divorced,Star,2020-05-08,2021-12-31,3903.8,Standard,Non-Zero Income,602,Active
36,British Columbia,Whistler,50.116322,-122.95736,V6T 1Y8,Bachelor,60230.0,Married,Star,2021-02-15,2021-12-31,3906.67,2021 Promotion,Non-Zero Income,319,Active
37,Quebec,Montreal,45.50169,-73.567253,H2T 9K8,Bachelor,60230.0,Married,Star,2016-05-19,2021-12-31,3906.67,Standard,Non-Zero Income,2052,Active
38,Ontario,Thunder Bay,48.380894,-89.247681,K8T 5M5,College,0.0,Single,Star,2015-05-02,2021-12-31,3907.03,Standard,Zero Income,2435,Active
39,British Columbia,Vancouver,49.28273,-123.12074,V5R 1W3,Bachelor,30821.0,Married,Star,2020-03-08,2020-04-18,3911.12,Standard,Non-Zero Income,41,Inactive
40,British Columbia,Whistler,50.116322,-122.95736,V6T 1Y8,College,0.0,Single,Star,2017-06-26,2021-12-31,3914.72,Standard,Zero Income,1649,Active
41,Quebec,Montreal,45.50169,-73.567253,H2Y 2W2,College,0.0,Single,Star,2016-02-24,2021-12-31,3914.72,Standard,Zero Income,2137,Active
42,Ontario,Toronto,43.653225,-79.383186,P2T 6G3,College,0.0,Single,Star,2019-05-15,2021-12-31,3915.8,Standard,Zero Income,961,Active
43,Alberta,Peace River,56.23418,-117.28938,T9O 2W2,Bachelor,66676.0,Married,Star,2019-05-12,2021-12-31,3919.37,Standard,Non-Zero Income,964,Active
44,British Columbia,Whistler,50.116322,-122.95736,V6T 1Y8,Bachelor,66676.0,Married,Star,2019-09-17,2021-12-31,3919.37,Standard,Non-Zero Income,836,Active
45,Ontario,Thunder Bay,48.380894,-89.247681,K8T 5M5,Bachelor,66676.0,Married,Star,2019-06-03,2020-02-03,3919.37,Standard,Non-Zero Income,245,Inactive
46,Quebec,Montreal,45.50169,-73.567253,H2T 9K8,Bachelor,66676.0,Married,Star,2021-06-20,2021-12-31,3919.37,Standard,Non-Zero Income,194,Active
47,British Columbia,Vancouver,49.28273,-123.12074,V6E 3Z3,Bachelor,66676.0,Married,Star,2021-05-09,2021-12-31,3919.37,Standard,Non-Zero Income,236,Active
48,Ontario,Toronto,43.653225,-79.383186,P2T 6G3,College,0.0,Married,Star,2018-02-28,2021-12-31,3920.51,Standard,Zero Income,1402,Active
49,Quebec,Montreal,45.50169,-73.567253,H4G 3T4,Bachelor,62445.0,Married,Star,2018-08-15,2021-12-31,3921.02,Standard,Non-Zero Income,1234,Active
50,Manitoba,Winnipeg,49.895138,-97.138374,R6Y 4T5,Bachelor,62445.0,Married,Star,2017-10-27,2021-12-31,3921.02,Standard,Non-Zero Income,1526,Active
51,Ontario,Sudbury,46.522099,-80.953033,M5V 1G5,Bachelor,56480.0,Single,Star,2019-11-10,2020-07-10,3924.42,Standard,Non-Zero Income,243,Inactive
52,New Brunswick,Fredericton,45.963589,-66.643112,E3B 2H2,Bachelor,25927.0,Single,Star,2017-03-28,2021-12-31,3933.81,Standard,Non-Zero Income,1739,Active
53,Ontario,Thunder Bay,48.380894,-89.247681,K8T 5M5,High School or Below,20920.0,Married,Star,2015-11-02,2021-12-31,3934.1,Standard,Non-Zero Income,2251,Active
54,British Columbia,Vancouver,49.28273,-123.12074,V6E 3Z3,Bachelor,84229.0,Married,Star,2020-03-25,2021-12-31,3934.71,Standard,Non-Zero Income,646,Active
55,Ontario,Trenton,44.101128,-77.576309,K8V 4B2,Doctor,19245.0,Married,Star,2016-12-02,2021-12-31,3936.79,Standard,Non-Zero Income,1855,Active
56,Quebec,Montreal,45.50169,-73.567253,H2T 2J6,Bachelor,60021.0,Married,Star,2017-09-03,2021-12-31,3939.01,Standard,Non-Zero Income,1580,Active
57,Quebec,Tremblant,46.118462,-74.596184,H5Y 2S9,Bachelor,60021.0,Married,Star,2016-11-25,2021-12-31,3939.01,Standard,Non-Zero Income,1862,Active
58,British Columbia,West Vancouver,49.328625,-123.16019,V6V 8Z3,Bachelor,60021.0,Married,Star,2015-12-15,2021-12-31,3939.01,Standard,Non-Zero Income,2208,Active
59,Quebec,Quebec City,46.813877,-71.207977,G1B 3L5,Bachelor,60021.0,Married,Star,2021-06-03,2021-12-31,3939.01,Standard,Non-Zero Income,211,Active
60,Nova Scotia,Halifax,44.648766,-63.575237,B3J 9S2,Doctor,18375.0,Married,Star,2016-06-13,2021-12-31,3954.34,Standard,Non-Zero Income,2027,Active
61,British Columbia,Vancouver,49.28273,-123.12074,V6E 3Z3,Doctor,18375.0,Married,Star,2018-09-05,2021-12-31,3954.34,Standard,Non-Zero Income,1213,Active
62,Quebec,Montreal,45.50169,-73.567253,H2T 9K8,Doctor,18375.0,Married,Star,2021-10-15,2021-12-31,3954.34,Standard,Non-Zero Income,77,Active
63,British Columbia,Whistler,50.116322,-122.95736,V6T 1Y8,Doctor,18375.0,Married,Star,2018-08-27,2021-12-31,3954.34,Standard,Non-Zero Income,1222,Active
64,Ontario,London,42.984924,-81.245277,M5B 3E4,Doctor,18375.0,Married,Star,2019-05-07,2021-12-31,3954.34,Standard,Non-Zero Income,969,Active
