Loyalty#,Province or State,City,Latitude,Longitude,Postal code,Education,Income,Marital Status,LoyaltyStatus,EnrollmentDateOpening,CancellationDate,Customer Lifetime Value,EnrollmentType,Income_Class,CustomerTenure,Active_Client
480934,Ontario,Toronto,43.653225,-79.383186,M2Z 4K1,Bachelor,70146.0,Married,Star,2019-02-15,2021-12-31,3839.14,Standard,Non-Zero Income,1050,Active
549612,Alberta,Edmonton,53.544388,-113.49093,T3G 6Y6,College,0.0,Divorced,Star,2019-03-09,2021-12-31,3839.61,Standard,Zero Income,1028,Active
429460,British Columbia,Vancouver,49.28273,-123.12074,V6E 3D9,College,0.0,Single,Star,2017-07-14,2021-01-08,3839.75,Standard,Zero Income,1274,Inactive
608370,Ontario,Toronto,43.653225,-79.383186,P1W 1K4,College,0.0,Single,Star,2016-02-17,2021-12-31,3839.75,Standard,Zero Income,2144,Active
530508,Quebec,Hull,45.42873,-75.713364,J8Y 3Z5,Bachelor,97832.0,Married,Star,2017-10-25,2021-12-31,3842.79,2021 Promotion,Non-Zero Income,1528,Active
927943,Ontario,Toronto,43.653225,-79.383186,P5S 6R4,College,0.0,Single,Star,2017-06-09,2021-12-31,3857.95,Standard,Zero Income,1666,Active
188893,Ontario,Trenton,44.101128,-77.576309,K8V 4B2,Bachelor,93272.0,Married,Star,2019-12-08,2021-12-31,3861.49,Standard,Non-Zero Income,754,Active
852392,Quebec,Montreal,45.50169,-73.567253,H2Y 2W2,Bachelor,93272.0,Married,Star,2018-05-30,2021-12-31,3861.49,Standard,Non-Zero Income,1311,Active
866307,Ontario,Toronto,43.653225,-79.383186,M8Y 4K8,Bachelor,93272.0,Married,Star,2019-10-14,2021-12-31,3861.49,Standard,Non-Zero Income,809,Active
932823,British Columbia,Vancouver,49.28273,-123.12074,V6E 3D9,Bachelor,47199.0,Married,Star,2018-03-17,2021-12-31,3863.31,Standard,Non-Zero Income,1385,Active
144514,British Columbia,Dawson Creek,55.759628,-120.23766,U5I 4F1,Bachelor,24204.0,Married,Star,2019-06-11,2021-12-31,3864.78,Standard,Non-Zero Income,934,Active
