Loyalty#,NumFlights,NumFlightsWithCompanions,PointsAccumulated,PointsRedeemed,Recency_Months,PointsRedeemRatio,FlightsWithCompanionsRatio
100018,225,45,53014.3,20562.8,0.0,0.3878727060434637,0.2
100102,245,55,33903.96,18760.6,0.0,0.5533453909218864,0.22448979591836735
100140,211,51,43192.58,4896.0,1.0,0.11335280272676464,0.24170616113744076
100214,108,17,36453.77,12908.6,0.0,0.35410877942116825,0.1574074074074074
100272,181,50,42953.25,10891.4,1.0,0.25356404928614246,0.27624309392265195
100301,236,68,45605.63,11013.0,0.0,0.2414833431749545,0.288135593220339
100364,171,43,34332.25,8707.7,0.0,0.25363033299594406,0.25146198830409355
100380,164,60,36723.94,17829.6,0.0,0.4855034617745263,0.36585365853658536
100428,156,28,31324.82,19927.1,0.0,0.6361441183061866,0.1794871794871795
100504,105,9,15242.21,0.0,0.0,0.0,0.08571428571428572
100550,212,50,40732.97,12189.5,2.0,0.29925389678189435,0.2358490566037736
100585,203,39,41549.82,26735.5,0.0,0.6434564578137764,0.1921182266009852
100590,28,3,8566.0,4147.0,0.0,0.4841232780761149,0.10714285714285714
100642,183,32,39458.659999999996,7712.1,0.0,0.19544758995870617,0.17486338797814208
100644,151,46,27687.5,25301.4,0.0,0.9138203160270881,0.304635761589404
100646,138,34,23297.33,4583.0,0.0,0.19671782131257098,0.2463768115942029
100727,220,45,42449.49,15212.8,0.0,0.35837415243386905,0.20454545454545456
100737,205,57,37386.63,23519.0,1.0,0.6290751533369014,0.2780487804878049
100753,283,73,52798.909999999996,8093.9,3.0,0.15329672525436605,0.2579505300353357
100816,143,22,37343.56,0.0,0.0,0.0,0.15384615384615385
100853,195,48,30348.38,9061.1,1.0,0.2985694788321485,0.24615384615384617
100883,156,14,22999.14,0.0,0.0,0.0,0.08974358974358974
100890,136,39,25234.48,15448.8,0.0,0.6122099603399792,0.2867647058823529
101018,201,58,46440.11,9788.0,1.0,0.210766081303425,0.2885572139303483
101148,169,27,27326.21,8168.8,0.0,0.29893644233869243,0.15976331360946747
101356,0,0,0.0,0.0,0.0,0.0,0.0
101363,149,32,28356.32,19783.3,0.0,0.6976681036185232,0.21476510067114093
101487,273,54,46622.1,38478.8,0.0,0.8253339081680148,0.1978021978021978
101515,158,41,44554.36,26917.7,1.0,0.6041541164545962,0.25949367088607594
101540,141,27,29487.96,7444.0,0.0,0.2524420136218308,0.19148936170212766
101544,181,42,34293.409999999996,14158.0,0.0,0.4128489992683726,0.23204419889502761
101547,58,11,12215.0,4735.0,0.0,0.38763814981580025,0.1896551724137931
101581,171,22,32924.11,13061.4,0.0,0.39671231811581237,0.1286549707602339
101594,201,48,42150.78,13099.0,0.0,0.31076530493623133,0.23880597014925373
101644,6,0,2083.0,0.0,0.0,0.0,0.0
101663,207,55,44072.35,14656.6,0.0,0.33255771475766555,0.26570048309178745
101664,134,30,37758.53,0.0,0.0,0.0,0.22388059701492538
101709,197,45,43082.66,6912.2,0.0,0.16044041848855198,0.22842639593908629
101768,6,6,1265.0,0.0,0.0,0.0,1.0
101876,58,17,13920.06,9792.0,0.0,0.703445243770501,0.29310344827586204
101895,154,28,30473.3,0.0,0.0,0.0,0.18181818181818182
101902,356,63,75866.06,13834.1,0.0,0.18234899769409404,0.17696629213483145
101945,192,21,37235.98,10085.0,0.0,0.27084019273831383,0.109375
102168,83,17,14564.0,0.0,0.0,0.0,0.20481927710843373
102184,235,69,44162.7,0.0,0.0,0.0,0.2936170212765957
102207,127,18,29020.8,0.0,3.0,0.0,0.14173228346456693
102299,218,66,29220.57,0.0,1.0,0.0,0.30275229357798167
102308,0,0,0.0,0.0,0.0,0.0,0.0
102311,243,31,52852.08,11157.0,2.0,0.2110985982008655,0.12757201646090535
102376,68,30,9160.0,4550.0,0.0,0.49672489082969434,0.4411764705882353
102464,68,33,29787.02,12224.6,1.0,0.4104002347331153,0.4852941176470588
102615,8,0,2260.0,0.0,0.0,0.0,0.0
102726,95,28,29442.14,15122.6,0.0,0.5136379352859541,0.29473684210526313
102730,86,37,14233.0,0.0,0.0,0.0,0.43023255813953487
102740,18,2,3191.0,0.0,0.0,0.0,0.1111111111111111
102788,214,45,40540.7,10750.2,0.0,0.26517055699580916,0.2102803738317757
