airport_name,iata_code,latitude,longitude,airport_code,airport_type
Toronto Lester B. Pearson International Airport,YYZ,43.6772,-79.6306,CYYZ,large_airport
Vancouver International Airport,YVR,49.193901062,-123.183998108,CYVR,large_airport
Montreal / Pierre Elliott Trudeau International Airport,YUL,45.467837,-73.742294,CYUL,large_airport
Calgary International Airport,YYC,51.118822,-114.009933,CYYC,large_airport
Ottawa Macdonald-Cartier International Airport,YOW,45.322498,-75.669197,CYOW,large_airport
Billy Bishop Toronto City Centre Airport,YTZ,43.627499,-79.396202,CYTZ,medium_airport
Edmonton International Airport,YEG,53.3097,-113.580002,CYEG,large_airport
Winnipeg / James Armstrong Richardson International Airport,YWG,49.9099998474,-97.2398986816,CYWG,large_airport
Halifax / Stanfield International Airport,YHZ,44.8807983398,-63.5085983276,CYHZ,large_airport
Quebec Jean Lesage International Airport,YQB,46.7911,-71.393303,CYQB,large_airport
Victoria International Airport,YYJ,48.647201,-123.427792,CYYJ,medium_airport
London Airport,YXU,43.035599,-81.1539,CYXU,medium_airport
John C. Munro Hamilton International Airport,YHM,43.1735992432,-79.93499755859999,CYHM,medium_airport
Regina International Airport,YQR,50.43190002441406,-104.66600036621094,CYQR,medium_airport
Kelowna International Airport,YLW,49.9561,-119.377998,CYLW,medium_airport
Kingston Norman Rogers Airport,YGK,44.2253,-76.596901,CYGK,medium_airport
Saskatoon John G. Diefenbaker International Airport,YXE,52.17079925537109,-106.6999969482422,CYXE,medium_airport
Region of Waterloo International Airport,YKF,43.4608,-80.378601,CYKF,medium_airport
St. John's International Airport,YYT,47.618599,-52.7519,CYYT,large_airport
Montreal International (Mirabel) Airport,YMX,45.679501,-74.038696,CYMX,medium_airport
Thunder Bay Airport,YQT,48.37189865112305,-89.32389831542969,CYQT,medium_airport
Muskoka Airport,YQA,44.975376,-79.306546,CYQA,medium_airport
Gander International Airport / CFB Gander,YQX,48.936258,-54.567719,CYQX,medium_airport
Oshawa Executive Airport,YOO,43.922798,-78.894997,CYOO,medium_airport
Abbotsford International Airport,YXX,49.025299,-122.361,CYXX,medium_airport
Peterborough Municipal Airport,YPQ,44.23,-78.363297,CYPQ,medium_airport
Montréal / Saint-Hubert Metropolitan Airport,YHU,45.517502,-73.416901,CYHU,medium_airport
Niagara District Airport,YCM,43.191598,-79.171686,CYSN,medium_airport
Greater Moncton Roméo LeBlanc International Airport,YQM,46.112202,-64.678596,CYQM,medium_airport
Ottawa / Rockcliffe Airport,YRO,45.4603004456,-75.64610290530001,CYRO,medium_airport
Fredericton Airport,YFC,45.868900299072266,-66.53720092773438,CYFC,medium_airport
Sudbury Airport,YSB,46.625,-80.79889678955078,CYSB,medium_airport
Windsor Airport,YQG,42.27560043334961,-82.95559692382812,CYQG,medium_airport
Kamloops John Moose Fulton Field Regional Airport,YKA,50.703038,-120.448641,CYKA,medium_airport
